inlet pressure [Pa],outlet pressure [Pa],inlet oil flowrate [m3/s],outlet oil flowrate [m3/s],inlet gas flowrate [m3/s],outlet gas flowrate [m3/s],inlet water flowrate [m3/s],outlet water flowrate [m3/s],inlet holdup [-],outlet holdup [-]
3339745.504898718,1329892.1324629674,0.10711397590286885,0.09713931469964832,0.05038182214985091,0.2480373092747508,0.04105585323847102,0.041985587057857855,0.6650748720439864,0.3690139616235882
3772545.873420439,652175.6485955871,0.12968185450476766,0.1264066243723523,0.08202450285454953,0.5494286890052663,0.05365471519392549,0.05351236493290919,0.7239292141150399,0.27132327469620626
3559010.5104968017,1360096.2691368018,0.11333259583973641,0.1076437112993542,0.0742402790901624,0.3332134497464766,0.048161054989031685,0.0469987008604442,0.6639555208709873,0.36368911408577026
2280121.203651244,1457958.7972539885,0.059377884816890436,0.05665164628451276,0.08591242736273315,0.1647276679638017,0.024347042711481127,0.02345661862100917,0.5482767890699066,0.4185238344433232
4604011.748670799,1198756.6549570358,0.1633114693319596,0.1526101628939598,0.03937095036982494,0.3972248641791378,0.06510505150600217,0.06501488425854778,0.8302292282604762,0.36887851062442484
2880583.866481411,1388877.8242330607,0.08125132530416979,0.08104404578987537,0.09538692373944176,0.20115570292351076,0.03349710942017532,0.034092759293786454,0.596102244541981,0.3565816695383857
1521508.482519539,780658.1013741984,0.04782904221405481,0.05122950151571597,0.11584295457031941,0.3194303913673586,0.021632645888545854,0.020572675909305727,0.4289570489156611,0.26979998501143493
4350505.3408309715,1476261.8994204071,0.14791070442396606,0.14191569027951045,0.04575501661426539,0.2927940597785168,0.06073500870127832,0.059930489521797935,0.7771072556881777,0.4052517035196259
4617636.638792412,928078.0820222793,0.1714467622098385,0.16057965913016542,0.048895703017836835,0.5747413677136741,0.06795773209023571,0.06788495484506084,0.8188799978318124,0.34107654628751505
3389356.6444182694,1219515.2001452404,0.12106164527173956,0.10561101565199656,0.06066652900614282,0.3022209153250532,0.04605006929154492,0.04590074958329997,0.7001217168833767,0.35443953148290963
2075526.8381969281,729528.9607782307,0.06494908158993068,0.0696144002410321,0.12174129019079465,0.422304711638676,0.025954004203331854,0.026524713432671775,0.4643718684945653,0.24730593905521198
1580986.5642195637,958881.5260317181,0.036613938513019736,0.042378554294552895,0.11357305761538738,0.18677012739428844,0.016682063071408498,0.017591262723904485,0.43687237702980963,0.34116464935685603
3342468.992454388,657792.8369769395,0.11124165246199176,0.10703614992993211,0.07260692395567257,0.5672841206514753,0.046319760332336535,0.04540224525879227,0.6745381835421649,0.29640604392076897
1984460.171358679,1538549.9741309606,0.04332006738717096,0.04662546707958112,0.07820876896029783,0.12167244192833196,0.020146178003492186,0.018309071008044617,0.5435950629706003,0.4499757558576635
4075604.289251717,1258020.8962138025,0.13696858535036574,0.13106058364187032,0.05259937278032274,0.3095436275787977,0.054463289365499566,0.05370455482535913,0.7726024816400996,0.4232990247402752
5071284.608796556,1429524.987050813,0.1821500704892556,0.17602433930301453,0.04195978387438949,0.3559694959454072,0.07376723043172355,0.07196934570931632,0.8672168035700805,0.44498557408730227
1587701.65716948,529923.6797232351,0.04867262928735704,0.046580258379288995,0.11670040800210299,0.3896758708973508,0.02040520789499147,0.020947851347333016,0.4338398821515508,0.22143505183231968
